Datum;Gewicht;Fettmasse;Knochenmasse;Muskelmasse;Wasseranteil
03.04.2023 05:31;88,88;19,26;3,47;66,14;43,66
02.04.2023 06:32;88,89;19,33;3,46;66,08;43,49
01.04.2023 06:45;88,41;18,79;3,47;66,13;43,69
31.03.2023 05:23;88,59;18,93;3,47;66,18;43,78
30.03.2023 05:27;88,93;19,03;3,48;66,4;43,99
29.03.2023 06:19;88,67;18,92;3,48;66,26;43,85
28.03.2023 06:03;88,59;19,1;3,46;66,01;43,49
27.03.2023 06:16;88,72;19,2;3,46;66,05;43,48
26.03.2023 06:34;89,05;19,07;3,49;66,48;44,22
25.03.2023 06:42;88,36;19,07;3,45;65,82;43,27
24.03.2023 05:56;88,42;18,37;3,49;66,54;44,21
23.03.2023 05:24;88,59;18,72;3,48;66,37;44,01
22.03.2023 05:29;88,46;18,68;3,48;66,28;44,01
21.03.2023 05:12;88,13;18,64;3,46;66,01;43,66
20.03.2023 05:11;88,87;19,13;3,48;66,24;43,88
19.03.2023 06:04;88,73;19,09;3,47;66,16;43,61
18.03.2023 05:27;87,92;18,68;3,45;65,78;43,37
17.03.2023 05:17;88,43;18,71;3,48;66,23;43,98
16.03.2023 05:30;88,5;18,67;3,48;66,33;44,05
15.03.2023 05:29;88,29;18,2;3,5;66,58;44,37
14.03.2023 05:01;88,1;18,39;3,48;66,22;43,9
13.03.2023 05:11;88,97;19,16;3,48;66,32;43,88
12.03.2023 06:31;88,59;19,22;3,45;65,9;43,41
11.03.2023 05:43;88,78;18,18;3,52;67,06;44,88
10.03.2023 05:30;88,84;19,28;3,46;66,08;43,54
09.03.2023 05:15;88,12;18,64;3,46;66;43,63
08.03.2023 05:23;88,13;18,57;3,47;66,08;43,81
07.03.2023 05:07;88,05;18,55;3,47;66,03;43,74
06.03.2023 05:30;88,45;18,82;3,47;66,14;43,76
05.03.2023 05:52;88,41;19,04;3,46;65,89;43,46
04.03.2023 06:12;88,04;18,55;3,46;66,02;43,59
03.03.2023 05:01;87,47;18,24;3,45;65,76;43,45
02.03.2023 05:09;87,01;18,51;3,41;65,07;42,62
01.03.2023 05:18;87,88;18,8;3,44;65,62;43,26
01.03.2023 05:17;87,83;18,72;3,44;65,65;43,25
28.02.2023 05:30;88,96;19,2;3,48;66,26;43,93
27.02.2023 05:16;88,55;19,25;3,45;65,83;43,4
26.02.2023 05:43;88,63;19,17;3,46;65,98;43,44
25.02.2023 06:23;88,35;18,73;3,47;66,14;43,71
24.02.2023 05:14;88,72;18,56;3,5;66,64;44,47
23.02.2023 05:18;88,92;18,68;3,5;66,71;44,55
22.02.2023 05:11;88,76;18,89;3,48;66,37;44,19
21.02.2023 05:26;88,22;18,8;3,46;65,95;43,61
20.02.2023 05:19;88,08;18,8;3,45;65,81;43,38
19.02.2023 05:55;88,69;18,98;3,47;66,22;43,74
18.02.2023 06:27;88,58;18,82;3,48;66,27;43,86
17.02.2023 05:24;88,34;18,57;3,48;66,28;44,09
16.02.2023 05:26;88,8;18,64;3,5;66,64;44,44
16.02.2023 05:25;88,84;18,74;3,5;66,59;44,34
15.02.2023 05:10;88,46;18,4;3,49;66,55;44,3
14.02.2023 05:23;88,26;18,71;3,47;66,07;43,79
13.02.2023 05:21;88,51;19,22;3,45;65,82;43,3
12.02.2023 06:18;88,34;19,15;3,44;65,73;43,2
12.02.2023 06:17;88,37;19,19;3,44;65,72;43,09
11.02.2023 06:26;88,73;18,94;3,48;66,3;43,84
10.02.2023 05:32;88,52;18,87;3,47;66,17;43,86
09.02.2023 05:03;88,88;18,98;3,48;66,4;44,1
08.02.2023 05:16;88,16;18,7;3,46;65,98;43,5
07.02.2023 05:16;88,07;18,53;3,46;66,05;43,65
06.02.2023 05:24;88,5;18,6;3,49;66,39;44,22
05.02.2023 06:33;87,77;18,85;3,43;65,47;42,95
04.02.2023 06:35;88,11;18,63;3,46;66;43,59
03.02.2023 05:30;88,33;18,47;3,48;66,37;44,15
02.02.2023 05:30;87,73;18,37;3,46;65,89;43,7
02.02.2023 05:29;87,76;18,35;3,46;65,93;43,66
01.02.2023 05:02;88,7;18,53;3,5;66,65;44,48
31.01.2023 05:11;88,57;18,73;3,48;66,34;44,08
30.01.2023 05:31;88,48;19,18;3,45;65,83;43,37
29.01.2023 06:26;88,67;18,87;3,48;66,31;43,87
28.01.2023 06:20;88,2;18,85;3,45;65,88;43,42
27.01.2023 05:31;87,9;18,8;3,44;65,64;43,21
27.01.2023 05:30;87,59;18,6;3,44;65,54;43,11
26.01.2023 05:30;88,2;18,61;3,47;66,11;43,79
25.01.2023 05:01;88,49;19,04;3,46;65,98;43,66
24.01.2023 05:10;88,45;18,8;3,47;66,17;43,87
23.01.2023 05:26;88,46;19,27;3,45;65,73;43,27
22.01.2023 06:18;87,8;19,01;3,42;65,34;42,77
21.01.2023 06:18;87,53;18,92;3,41;65,18;42,65
20.01.2023 05:32;87,69;19,05;3,42;65,21;42,77
19.01.2023 05:30;87,15;19,07;3,39;64,68;42,18
19.01.2023 05:29;87,19;19,07;3,39;64,72;42,19
18.01.2023 06:15;88,19;19,21;3,43;65,53;42,98
17.01.2023 05:04;89,22;19,13;3,5;66,58;44,36
16.01.2023 05:07;89,22;19,61;3,47;66,13;43,57
15.01.2023 06:17;88,66;19,17;3,46;66,01;43,55
14.01.2023 05:54;88,68;18,74;3,49;66,44;44,18
13.01.2023 05:26;88,85;18,63;3,5;66,7;44,6
12.01.2023 05:25;88,91;18,61;3,51;66,77;44,72
11.01.2023 05:34;89,06;18,87;3,5;66,68;44,62
10.01.2023 05:26;88,57;18,85;3,48;66,23;44
09.01.2023 05:31;88,29;19,05;3,45;65,77;43,42
08.01.2023 06:17;87,89;19,1;3,42;65,34;42,86
07.01.2023 06:28;88;18,82;3,45;65,73;43,38
07.01.2023 06:27;88,04;18,89;3,44;65,69;43,27
06.01.2023 07:07;88,47;19,02;3,46;65,98;43,71
05.01.2023 07:08;88,41;19,07;3,46;65,87;43,55
05.01.2023 07:07;87,81;18,62;3,45;65,72;43,41
04.01.2023 06:43;88,54;19,12;3,46;65,95;43,49
03.01.2023 06:49;88,49;18,93;3,47;66,08;43,79
02.01.2023 07:22;88,38;18,62;3,48;66,26;44,25
01.01.2023 06:26;88,55;18,94;3,47;66,13;43,71
